State,Race,Total Household,<10k,10k to 15k,15k to 25k,25k to 35k,35k to 50k,50k to 75k,75k to 100k,100k to 150k,150k to 200k,200k+
Alaska,White alone,185456,6136,4307,9692,10808,17267,30886,25917,38157,19931,22355
Alaska,Black or African American alone,8458,380,211,541,715,895,2309,1105,1062,685,555
Alaska,American Indian and Alaska Native alone,28524,2363,1553,3627,2603,3395,5251,3148,3560,1636,1388
Alaska,Asian alone,12898,473,370,782,697,1137,2747,1980,2520,1387,805
Alaska,Native Hawaiian and Other Pacific Islander alone,2267,21,6,106,95,295,669,285,460,223,107
Alaska,Some Other Race alone,4239,206,152,264,270,645,731,632,885,291,163
Alaska,Hispanic or Latino (of any race),15760,664,441,920,1190,2387,3346,1985,2874,1022,931
District of Columbia,White alone,138443,4233,1294,2352,2965,4845,11908,14892,26509,20163,49282
District of Columbia,Black or African American alone,132384,17935,8850,11799,12113,13561,20097,15590,16105,7627,8707
District of Columbia,American Indian and Alaska Native alone,1198,116,195,59,43,74,424,95,87,20,85
District of Columbia,Asian alone,13048,1068,296,341,345,1036,1300,1344,2588,1544,3186
District of Columbia,Some Other Race alone,9978,1000,119,632,857,994,2098,1059,1404,682,1133
District of Columbia,Hispanic or Latino (of any race),27098,1776,554,1272,1410,2048,4414,3386,4746,2606,4886
Hawaii,White alone,148919,7196,4694,7798,8154,13376,23025,20076,28390,15748,20462
Hawaii,Black or African American alone,10570,558,313,552,742,1501,1724,1867,1692,942,679
Hawaii,American Indian and Alaska Native alone,1742,233,68,175,168,121,296,211,288,143,39
Hawaii,Asian alone,186559,7989,3750,9783,9915,15303,27429,24625,38453,22937,26375
Hawaii,Native Hawaiian and Other Pacific Islander alone,40094,2841,1188,2343,3476,4541,6132,5768,6997,4214,2594
Hawaii,Some Other Race alone,6412,299,84,140,626,991,1215,1029,1137,544,347
Hawaii,Hispanic or Latino (of any race),38296,1830,967,1989,2411,4806,5940,5713,8056,3257,3327
Idaho,White alone,588475,24608,21206,47800,51923,74914,119027,82239,95894,36286,34578
Idaho,Black or African American alone,3001,261,208,175,354,664,735,342,100,132,30
Idaho,American Indian and Alaska Native alone,7688,702,540,1111,1016,875,1509,714,864,118,239
Idaho,Asian alone,7862,625,226,732,685,1077,1059,830,1315,572,741
Idaho,Native Hawaiian and Other Pacific Islander alone,820,144,35,136,130,66,82,30,137,0,60
Idaho,Some Other Race alone,21525,795,1138,2054,2277,4079,5094,2709,2265,697,417
Idaho,Hispanic or Latino (of any race),60954,2939,2871,5144,6301,9895,15109,7447,7720,1545,1983
Massachusetts,White alone,2143013,83844,75090,132023,121824,173633,285246,251452,396828,250786,372287
Massachusetts,Black or African American alone,174622,14300,10456,15199,15259,20254,27544,21415,25804,12704,11687
Massachusetts,American Indian and Alaska Native alone,5004,447,703,559,537,595,859,442,417,194,251
Massachusetts,Asian alone,162572,11798,4396,7741,7047,9594,17759,16835,28722,19879,38801
Massachusetts,Native Hawaiian and Other Pacific Islander alone,874,60,41,20,128,60,52,246,47,98,122
Massachusetts,Some Other Race alone,102611,9193,9157,9289,9184,12540,17223,12569,12519,5394,5543
Massachusetts,Hispanic or Latino (of any race),270049,24663,23665,27375,24890,30618,39507,30984,34844,15950,17553
New Jersey,White alone,2280850,76822,59157,127968,129276,187853,308155,280250,431223,265190,414956
New Jersey,Black or African American alone,443052,38231,26414,38878,37997,50134,74299,54220,63649,30951,28279
New Jersey,American Indian and Alaska Native alone,7745,553,431,768,586,762,1252,880,1110,775,628
New Jersey,Asian alone,294781,9719,5334,9457,9707,14321,27004,29178,57828,44123,88110
New Jersey,Native Hawaiian and Other Pacific Islander alone,817,76,17,169,43,56,150,25,207,15,59
New Jersey,Some Other Race alone,198516,12699,10024,17987,19132,26388,37287,26097,27369,11063,10470
New Jersey,Hispanic or Latino (of any race),582449,33997,30036,49932,51812,68814,99386,72994,87033,43641,44804
New York,White alone,4977721,224410,179107,336747,333261,459621,727979,601749,877368,491711,745768
New York,Black or African American alone,1077128,115183,72575,102799,93089,125008,167652,118231,144109,69709,68773
New York,American Indian and Alaska Native alone,27279,2598,2275,3168,2352,3131,4793,3021,3191,1419,1331
New York,Asian alone,553733,33451,18563,38059,40672,48875,74574,60824,88153,56101,94461
New York,Native Hawaiian and Other Pacific Islander alone,2930,301,133,356,305,397,284,290,402,173,289
New York,Some Other Race alone,540800,56637,41205,56378,49562,67311,89991,61558,65885,28204,24069
New York,Hispanic or Latino (of any race),1187181,110975,83087,114816,101300,135265,186674,133200,159567,79933,82364
Utah,White alone,900902,29520,22079,46457,59465,94126,161737,136413,187202,82928,80975
Utah,Black or African American alone,10424,898,519,954,1255,1698,1865,916,1345,378,596
Utah,American Indian and Alaska Native alone,9601,1007,634,863,813,1176,1846,1540,866,540,316
Utah,Asian alone,23043,1480,665,947,1420,2308,3964,3333,4125,2023,2778
Utah,Native Hawaiian and Other Pacific Islander alone,6584,305,164,137,623,962,1518,888,1117,629,241
Utah,Some Other Race alone,40942,1416,907,2474,5039,6168,9162,6276,6649,1772,1079
Utah,Hispanic or Latino (of any race),117144,5193,3107,7323,12593,17059,24890,18046,18654,6427,3852
